Nr,Driver in,Day time in,Time in,Driver out,Day time out,Time out,Nett Time,Reason,Lap In
76,Bijoy Garg,16:03:02.371,25:02.371,Adam Ali,16:04:37.928,26:37.928,1:35.557,,7
24,Lorcan Hanafin,16:03:03.151,25:03.151,Daniel Ali,16:05:07.163,27:07.163,2:04.012,,8
51,Vincent Abril,16:03:19.656,25:19.656,Alessandro Pier Guidi,16:04:20.091,26:20.091,1:00.435,,8
5,James Allen,16:03:44.636,25:44.636,Michael Porter,16:06:38.611,28:38.611,2:53.975,,9
6,Aaron Walker,16:04:04.556,26:04.556,Tanart Sathienthirakul,16:05:24.958,27:24.958,1:20.402,,10
8,Nicoló Rosi,16:04:23.979,26:23.979,Niccoló Schiro',16:05:49.213,27:49.213,1:25.234,,10
42,Jarrod Waberski,16:04:53.589,26:53.589,William Moore,16:08:06.498,30:06.498,3:12.909,,10
23,Alex Buncombe,16:04:55.360,26:55.360,Reece Barr,16:06:27.389,28:27.389,1:32.029,,11
59,Marvin Kirchhöfer,16:05:13.289,27:13.289,Joseph Loake,16:08:09.989,30:09.989,2:56.700,,11
17,Luca Stolz,16:05:25.509,27:25.509,Jules Gounon,16:07:25.313,29:25.313,1:59.804,,8
98,Augusto Farfus,16:05:52.951,27:52.951,Raffaele Marciello,16:09:06.276,31:06.276,3:13.325,,10
12,Davide Rigon,16:06:00.481,28:00.481,Christian Hook,16:10:26.351,32:26.351,4:25.870,,10
10,Aurelien Panis,16:06:22.022,28:22.022,Loris Cabirou,16:08:53.588,30:53.588,2:31.566,,10
92,Rolf Ineichen,16:06:25.557,28:25.557,Tim Heinemann,16:07:39.080,29:39.080,1:13.523,,11
